State,State Name,Town,Month Name,Week Number,Name,Type,Distances Available,Target Distance,Status,Target Year,Lottery,Drive Time (hrs),Notes,Latitude,Longitude,Link
IN,Indiana,Nashville,October,3,Tecumseh Trail Challenge,Trail,8 mile | Half Marathon | Marathon | 50K,,,,,9.5,,39.191354,-86.344047,https://ultrasignup.com/register.aspx?did=113476
IN,Indiana,Borden,September,,Sorta Mountain Stage Race,Trail,5 mile | Half Marathon | 18 mile,,,,,8,,38.46233432,-85.8624598,https://ultrasignup.com/register.aspx?did=113314
IA,Iowa,Dubuque,November,1,Miner 49er,Trail,25K | 50K,,,,,,,42.45929909,-90.66404804,https://ultrasignup.com/register.aspx?did=115082
KY,Kentucky,Pine Ridge,April,1,Red River Gorge,Trail,25K,,,,,,Red River Gorge,37.784265,-83.632585,https://ultrasignup.com/register.aspx?did=117259
KY,Kentucky,Morehead,April,4,Big Turtle Trail Run,Trail,10 mile | 50K | 50 mile,,,,,6,,38.1913335,-83.43142005,https://ultrasignup.com/register.aspx?did=117942
KY,Kentucky,Hyden,March,2,War Bird 100,Trail,Half Marathon | 50K | 100 mile,,,,,5.5,,37.14131026,-83.43023236,https://ultrasignup.com/register.aspx?did=125856
KY,Kentucky,Slade,November,2,Cantucky Y'All,Trail,15K | 50K,,,,,6,Red River Gorge,37.781091,-83.689959,https://ultrasignup.com/register.aspx?did=115275
LA,Louisiana,Ville Platte,December,1,Loup Garou Trail Run,Trail,20 mile | 40 mile | 60 mile | 100 mile,,,,,,,30.7889842,-92.28291183,https://ultrasignup.com/register.aspx?did=122275
LA,Louisiana,Doyline,October,1,El Diablo Hundo,Trail,25K | 100K | 100 mile,,,,,,,32.53588365,-93.41097272,https://ultrasignup.com/register.aspx?did=116016
MD,Maryland,Frederick,July,,Catoctin 50K Trail Run and Half Cat,Trail,25K | 50K,,,,,,,39.587453,-77.435978,https://ultrasignup.com/register.aspx?did=123189
MD,Maryland,Little Orleans,November,1,Fire on the Mountain 50K,Trail,25K | 50K,,,,,7,,39.626657,-78.431287,https://ultrasignup.com/register.aspx?did=100673
MA,Massachusetts,Pittsfield,June,3,Free to Run Trail Races,Trail,15K | 25K | 50K,,,,,,,42.481795,-73.301187,https://ultrasignup.com/register.aspx?did=121875
MA,Massachusetts,Amherst,May,,Seven Sisters,Trail,12 mile,,,,,,Extremely technical,42.305984,-72.532237,https://ultrasignup.com/register.aspx?did=94704
MI,Michigan,Grand Island,July,,Grand Island Trail Race,Trail,Half Marathon | Marathon | 50K,,,,,,,46.45303909,-86.66555721,https://www.greatlakesendurance.com/michigan-races/grand-island-trail-marathon.html
MI,Michigan,Belmont,July,3,Dirty Burg,Trail,5K | 10K | 25K | 50K,,,,,,,43.05425483,-85.50129232,https://switchbackendurance.com/races/dirty-burg/
MN,Minnesota,Duluth,October,,Wild Duluth Races,Trail,10K | Half Marathon | 50K | 100K,,,,,,,46.66150272,-92.28265827,https://www.wildduluthraces.com/
MN,Minnesota,Lutsen,September,,Superior Fall Trail Races,Trail,Marathon | 50 mile | 100 mile,,,,yes,,,47.540463,-90.978267,https://www.superiorfalltrailrace.com/
MS,Mississippi,Laurel,March,1,Mississippi Trail 50,Trail,20K | 50K | 50 mile | 100 mile,,,,,,,31.56868,-88.987307,https://ultrasignup.com/register.aspx?did=114504
MS,Mississippi,Quitman,September,4,The Ivy Trek Ultra,Trail,12.5K | 25K | 50K,,,,,,,32.107823,-88.697121,https://ultrasignup.com/register.aspx?did=123417
MS,Mississippi,Madison,February,2,Frosty 15,Trail,15K | 15 mile,,,,,,,32.46562529,-90.05706519,https://ultrasignup.com/register.aspx?did=129693
MO,Missouri,Wildwood,December,2,Wildwood Trail Marathon,Trail,Half Marathon | Marathon,,,,,,Near St. Louis,38.551906,-90.638623,https://ultrasignup.com/register.aspx?did=115289
MO,Missouri,Poplar Bluff,April,,Wolf Creek Trail Run,Trail,1.7 mile | 6K | Half Marathon,,,,,,,36.75082114,-90.40593224,https://ultrasignup.com/register.aspx?did=126662
MO,Missouri,Wildwood,April,2,Ozark Foothills Endurance Runs,Trail,25K | Marathon | 50K | 50 mile | 100K | 100 mile,,,,,,,38.52766054,-90.68649044,https://www.terraintrailrunners.com/ozark-foothills.html
MO,Missouri,Wildwood,October,4,Babler Bongo 15K Trail Race,Trail,15K,,,,,,,38.61779933,-90.68951478,https://www.terraintrailrunners.com/babler-bongo-15k-trail-race15k-ruck.html
NE,Nebraska,Fremont,May,4,Crown of the Crest,Trail,Half Marathon | Marathon | 100 mile | Timed (13 hr),,,,,,,41.42357776,-96.54339534,https://www.goatz.org/crown-of-the-crest
NM,New Mexico,Taos,August,1,Up & Over Trail Run,Trail,10K | Vertical K,,,,,,,36.40643004,-105.5722924,https://taosskivalley.com/up-over-10k-trail-run/
NM,New Mexico,Red River,July,,Enchanted Forest Trail Races,Trail,Half Marathon | Marathon,,,,,,,36.70837282,-105.4055657,https://geminiadventures.com/run/enchanted-forest
NM,New Mexico,Santa Fe,October,2,The Big T,Trail,12 mile,,,,,,,35.77739219,-105.8108255,https://runsignup.com/Race/NM/SantaFe/TheBigT?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
NM,New Mexico,Taos,September,2,Bull of the Woods Trail Races,Trail,Half Marathon | 26 mile,,,,,,,36.595438,-105.447819,https://ultrasignup.com/register.aspx?did=112084
ND,North Dakota,Medora,June,4,Maah Daah Hey Trail Run,Trail,5K | 10K | Half Marathon | Marathon | 81 mile | 107 mile,,,,,,,46.91397469,-103.52377,https://www.experienceland.org/maah-daah-hey-trailrun
OH,Ohio,McArthur,April,1,Iron Furnace Trail Run,Trail,Half Marathon,,,,,6,,39.320948,-82.356719,https://ultrasignup.com/register.aspx?did=121314
OH,Ohio,West Portsmouth,October,,Shawnee Trail Runs,Trail,Half Marathon | 50K | 50 mile,,,,,7,Southern Ohio. Drivable,38.739795,-83.203587,https://ultrasignup.com/register.aspx?did=112499
OH,Ohio,Boston,October,4,Run With Scissors,Trail,Half Marathon | Marathon | Double Marathon,,,,,,In Cuyahoga Valley NP,41.224018,-81.510507,https://ultrasignup.com/register.aspx?did=117543
OK,Oklahoma,Guthrie,November,1,Thunderbird Trail Run,Trail,5K | 12.5K | 25K | 50K | 100K,,,,,,,35.80142491,-97.46128632,https://ultrasignup.com/register.aspx?did=122420
OK,Oklahoma,Davis,November,2,Best Day Ever Ultra,Trail,10K | 20K | 50K | 100K,,,,,,,34.45007913,-97.20009747,https://ultrasignup.com/register.aspx?did=129331
OR,Oregon,Cascade Locks,April,2,Gorge Waterfalls,Trail,30K | 50K | 100K,,,,,,,45.66987768,-121.8935831,https://www.daybreakracing.com/gorge-waterfalls
OR,Oregon,Prospect,October,3,Rogue Gorge,Trail,12K | Half Marathon | 50K | 50 mile,,,,,,,42.90582779,-122.4455475,https://www.daybreakracing.com/rogue-gorge
PA,Pennsylvania,Cooksburg,August,,Cook Forest 25K Trail Challenge,Trail,25K,,,,,9,,41.345925,-79.218463,https://ultrasignup.com/register.aspx?did=101288
PA,Pennsylvania,Waterville,October,,Call of the Wilds Mountain Fest,Trail,25K | 50K,,,,,9,,41.363958,-77.356221,https://ultrasignup.com/register.aspx?did=98847
PA,Pennsylvania,Lock Haven,September,,Boulder Beast,Trail,25K | 24 mile,,,,,9,,41.134135,-77.42011,https://ultrasignup.com/register.aspx?did=97961
PA,Pennsylvania,Beaver Falls,March,5,Rabid Raccoon,Trail,Half Marathon | 100K | 100 mile,,,,,,,40.73189204,-80.33776974,https://runsignup.com/Race/PA/BeaverFalls/RabidRaccoon100
PA,Pennsylvania,Gardners,April,2,Buck Ridge Burn,Trail,5K | 10K | Half Marathon,,,,,,,40.00281278,-77.3255465,https://buckridgeburn.com/
RI,Rhode Island,Narragansett,June,,Blessing of the Fleet 10-Mile Road Race,Road,10 mile,,,,,,,41.44101382,-71.46369419,https://narragansettlionsclub.org/annual-events/blessing-of-the-fleet-celebration/
RI,Rhode Island,Charlestown,November,,Lil' Rhody Runaround Trail Race,Trail,8 mile,,,,,,,41.38316802,-71.70957335,https://runsignup.com/Race/RI/Charlestown/LilRhodyRunaround
RI,Rhode Island,Point Judith,October,,Ocean Road 10K,Road,10K,,,,,,,41.36118575,-71.48135026,https://oceanroad10k.com/
SD,South Dakota,Deadwood,May,5,Mickelson Trail Marathon,Trail,Half Marathon | Marathon,,,,,,,44.37089539,-103.7286991,https://www.deadwoodmickelsontrailmarathon.com/race-info/course-info
TN,Tennessee,Chattanooga,August,,Still Hollow Trail Race,Trail,Half Marathon,,,,,6,Fast,35.087218,-85.111583,https://ultrasignup.com/register.aspx?did=96965
TN,Tennessee,Chattanooga,March,,Stump Jump,Trail,10 mile | 50 mile,,,,,,,35.16142705,-85.3689602,https://www.badbeardevents.com/
TN,Tennessee,Jasper,November,4,Fiery Gizzard,Trail,Half Marathon | Marathon,,,,,6.5,,35.181998,-85.672781,https://ultrasignup.com/register.aspx?did=112912
TN,Tennessee,Chattanooga,November,3,Bad Beard Events River Gorge Trail Race,Trail,6.5 mile | 10.2 mile | 20 mile,,,,,5,,35.132577,-85.419157,https://ultrasignup.com/register.aspx?did=109621
TX,Texas,Redford,January,,Big Bend Ultra,Trail,10K | 20K | 30K | 50K | 50 mile,,,,,,,29.27003075,-103.7573879,https://trailroots.com/big-bend-ultra
TX,Texas,Quanah,March,3,Chupacabra 50,Trail,9K | 20K | 53K | 50 mile,,,,,,,34.29770521,-99.73954823,https://ultrasignup.com/register.aspx?did=127974
TX,Texas,Marble Falls,March,4,Turkey Bend Bluebonnet Trail Run,Trail,10K | Half Marathon | Marathon | 50K | 50 mile,,,,,,,30.5080101,-98.10488871,https://runsignup.com/Race/TX/MarbleFalls/BluebonnetTrailRun?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
UT,Utah,Park City,July,,Jupiter Peak,Trail,25K,,,,,,,40.65171149,-111.5055703,https://runsignup.com/Race/UT/ParkCity/TripleTrail
WA,Washington,Wenatchee,July,2,Devil's Gulch,Trail,Half Marathon | 50 mile | 100 mile,,,,,,,47.29266581,-120.3999193,https://www.evergreentrailruns.com/devils-gulch/
WI,Wisconsin,LaGrange,May,,Ice Age Trail 50,Trail,Half Marathon,,,,,,,42.82154527,-88.60056375,https://iceagetrail50.com/half-marathon/
OH,Ohio,Bethel,September,2,East Fork,Trail,15 mile | 50K | 100K | 100 mile,,,,,,,38.96344077,-84.08165116,https://ultrasignup.com/register.aspx?did=132997
VT,Vermont,Goshen,July,2,Goshen Gallop,Trail,5K | 10K,,,,,,,43.8911584,-73.00588962,https://ultrasignup.com/register.aspx?did=117793
MI,Michigan,Paradise,August,2,Tahqua Trail Run,Trail,10K | 25K | 50K,,,,,,,46.5983646,-85.20485182,https://ultrasignup.com/register.aspx?did=129775
PA,Pennsylvania,Newville,June,1,Tuscarora Half Ass 25K & 15K,Trail,15K | 25K,,,,,9,Colonel Denning State Park. Capped at 120.,40.1637,-77.3944,https://ultrasignup.com/register.aspx?did=136627
PA,Pennsylvania,Coburn,October,1,The Raven Half Marathon,Trail,10K | Half Marathon,,,,,9,Poe Valley State Park. Capped at 200.,40.8879,-77.4086,https://ultrasignup.com/register.aspx?did=134321
PA,Pennsylvania,McElhattan,March,2,Fire on the Rocks 10K,Trail,10K,,,,,9,Zindel Park. ~1400 ft gain.,41.1320,-77.3198,https://ultrasignup.com/register.aspx?did=137303
PA,Pennsylvania,Waterville,November,2,Tiadaghton Trail Challenge,Trail,10K | Half Marathon,,,,,9,Tiadaghton State Forest. Rocky technical trails.,41.3600,-77.3600,https://ultrasignup.com/register.aspx?did=134845
PA,Pennsylvania,North Bend,November,1,The View Trail Race,Trail,15K | 25K,,,,,9,Hyner area. Serious runners only. Capped at 500.,41.3200,-77.6400,https://ultrasignup.com/register.aspx?did=132384
